System,System Name,Sub System,Sub System Name,Sub Sub System,Sub Sub Sytem Name
00,COMPLETE VEHICLE  SYSTEM,0000,VEHICLE SYSTEM,0000A,VEHICLE SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001A,BODY
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001B,FRAME AND MOUNTING
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001C,ENGINE
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001D,SUSPENSION
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001E,DRIVELINE
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001F,BRAKE
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001G,TRANSMISSION
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001H,CLUTCH
00,COMPLETE VEHICLE  SYSTEM,0001,DESC.  V.PLATES AND INSTR. SUBSYSTEM,0001J,EXHAUST
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002A,JACK AND HANDLE
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002B,TOOLS
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002C,WARNING SIGN AND WARNING LAMP
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002D,FIRE EXTINGUISHER
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002E,FIRST AID KITS
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002F,TYRE INFLATION DEVICES
00,COMPLETE VEHICLE  SYSTEM,0002,JACK TOOL AND EMERGENCY EQUIPMENT,0002G,WHEEL CHOCKS
00,COMPLETE VEHICLE  SYSTEM,0003,OWNER OPERATOR ACCESSORIES,0003A,ACCESSORIES
00,COMPLETE VEHICLE  SYSTEM,0004,VEHICLE TRANSPORTATION AIDS,0004A,BODY MOUNTED AIDS-SHIP T/DOWNS
00,COMPLETE VEHICLE  SYSTEM,0004,VEHICLE TRANSPORTATION AIDS,0004B,CHASSIS MOUNTED AIDS -SHIP T / DOWNS
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005A,BODY MOUNTED DYNAMIC DAMPER
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005B,CHASSIS MOUNTED DYNAMIC DAMPERS
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005C,ENGINE MOUNTED DYNAMIC DAMPERS
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005D,AXLE/D-SHFT MTD DYNAMIC DAMPER
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005E,TRANSM.MNTD DYNAMIC DAMPERS ABSRB
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005F,STEERING MOUNTED DYNAMIC DAMPERS
00,COMPLETE VEHICLE  SYSTEM,0005,DYNAMIC DAMPERS,0005G,STEERING XX MOUNTED DYNAMIC DAMPERS
